,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
87,eh kasar kamu kampang,1,1,1,0,0,0,0,0,1,1,0,0
88,bentar gue rilis album the ontas wkwk,0,0,0,0,0,0,0,0,0,0,0,0
89,cebong bang rasa paling benar,1,1,1,0,0,0,0,0,1,1,0,0
90,najis banget gue mentwit apa barusan he,0,1,0,0,0,0,0,0,0,0,0,0
91,kamu transgender bagaimana anjing,1,1,1,0,0,0,0,1,0,1,0,0
92,awas bintit kamu intip titit kucing,0,1,0,0,0,0,0,0,0,0,0,0
93,bawel bawa asa bolot baik bodor enggak jelas wkwk apa sudah saja deh,0,1,0,0,0,0,0,0,0,0,0,0
94,gue saran perlu banyak bacot maling ayat langsung to the point kamu jadi orang tidak paham kamu riak kafir sesat liberal puja dukun bla blaaa hati puas deh,1,1,1,0,1,0,0,0,0,1,0,0
95,jangan salah target bukan ahok agenda utama lengser jokowi,1,0,1,0,0,0,0,0,1,0,0,1
96,masa baru kena tagar sudah panas tahu banget ganti presiden,1,0,1,0,0,0,0,0,1,1,0,0
97,maju kamu sini duit kamu goyang kaki tak buat pape mana lah duit nak maju kat kamu bodoh,0,1,0,0,0,0,0,0,0,0,0,0
98,huria kristen batak protestan diri sejak pecah kristen katolik zaman jajah belandadl ada nama kristen protestan ada cuma kristen khatoliknterjadilah pecah diri huria kristen batak protestan pama kali tarutungnnnah sekarang saya k,0,0,0,0,0,0,0,0,0,0,0,0
99,apa apa banyak baca biar pintar jepang amerika cina utang sama siapa tau,0,0,0,0,0,0,0,0,0,0,0,0
100,prabowo kalah sebut bantu jokowi citra ratap pilu,1,0,1,0,0,0,0,0,1,1,0,0
101,yang takut azan iblis,0,0,0,0,0,0,0,0,0,0,0,0
102,goblok adalah bani cebong tukang tipu jilat kuasa tahu gera masa bayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal,1,1,0,1,0,0,0,0,1,0,1,0
103,wah cebong sewotnxfxfxxxfxfxxxfxfxx,1,1,1,0,0,0,0,0,1,1,0,0
104,gera tekan penting kerja keras cara total tingkat potensi bangsa,0,0,0,0,0,0,0,0,0,0,0,0
105,padahal gubernur ini djarot mayoritas paai politik dewan wakil rakyat daerah dukung ahok djarot payah mereka,1,0,1,0,0,0,0,0,1,1,0,0
106,rezim rusak bukan baik sistem malah sibuk cari cari salah kalau pasti ketemu komisi berantas korupsi alat besok perintah ganti ulang engah pernah selesai siapa organisasi orang,0,0,0,0,0,0,0,0,0,0,0,0
107,orang orang saling tuding antek asing asing sungguh beepuk tangan,0,0,0,0,0,0,0,0,0,0,0,0
108,nah lah kata anti asing,0,0,0,0,0,0,0,0,0,0,0,0
109,selamat pak moga terus kiprah bahkan tingkat nasional,0,0,0,0,0,0,0,0,0,0,0,0
110,asyik menang sih ikut ulama,0,0,0,0,0,0,0,0,0,0,0,0
111,saya tahu ketapang banyak tenaga kerja asing asing kerja bagai usaha masuk pt who tambang bauksit viral pilih presiden dulu bisa jadi karena kerja sama sebut jadi era gubernur cornelis wakil,0,0,0,0,0,0,0,0,0,0,0,0
112,anak pecun jauh jauh hobi zina haha,1,1,1,0,0,0,0,1,0,1,0,0
113,aku bom surat harga syariah negara,0,0,0,0,0,0,0,0,0,0,0,0
114,istirahat pak presiden momentum lalu pernah jadi saksi telinga mata awal rapat bentuk di pacitan tahun,0,0,0,0,0,0,0,0,0,0,0,0
115,house select committee on assassination hsca temu cacat investigasi laku fbi warren commission hsca simpul empat tembak laku mungkin konspirasi dalam,0,0,0,0,0,0,0,0,0,0,0,0
116,tak asa genap tahun datang april gelar hajat pilih presiden acara tahun negara indonesia pilih presiden moga senantiasa jalan aman lancar amin,0,0,0,0,0,0,0,0,0,0,0,0
117,ian pantat,0,1,0,0,0,0,0,0,0,0,0,0
118,aku orang pintar agama memang agama mana boleh nista hujat orang jangan orang bodoh orang maaf sejak lahir idiot sekalipun kita harga bagai sama cipta tuhan ingat iblis juga pintar sangat licik,0,1,0,0,0,0,0,0,0,0,0,0
119,daftar calon presiden pilih presiden belum buka agustus normatif begini politikus partai demokrasi indonesia juang belum paham ganti presiden,1,0,0,1,0,0,0,0,1,0,1,0
120,sih tolol tau perintah rezim komunis bobrok koruptor pimpin sidang dewan wakil rakyat paya cebong,1,1,1,0,0,1,0,0,0,1,0,0
121,dulu bapak gue kalau mantan mantan gue selalu rasa sedih pikir tidak tidur lo gue rasa jadi anak berengsek begitu laki laki,0,1,0,0,0,0,0,0,0,0,0,0
122,cina usak bangsa usir tuju,1,0,0,1,0,1,0,0,0,0,0,1
123,ganti presiden cara konstitusional hak tiap rakyat woiii begini nih kalau plonga plongo laku otoriter,1,1,1,0,0,0,0,0,1,1,0,0
124,kita wujud pilih kepala daerah kota bengkulu aman damai cok adem heru,0,0,0,0,0,0,0,0,0,0,0,0
125,mau tanya serius sama presiden jokowi yang cuma islam nusantaraknp ada kristen nusantarabudhahindu bahkan kong hucu nusantara,0,0,0,0,0,0,0,0,0,0,0,0
126,sama nyata moeldoko bukti istana takut bangkit umat islam,0,0,0,0,0,0,0,0,0,0,0,0
127,cowok jago drasex mana sini ngentot sama adik luvian,0,1,0,0,0,0,0,0,0,0,0,0
128,kroasia kafir tauuungapain ajar sama kapirudh lupa sama kapling sorga,1,1,0,1,1,0,0,0,0,0,1,0
129,lah bukan nya menteri suhao yang homo,1,1,1,0,0,0,0,1,0,1,0,0
130,gue tau lah bukan dulu masih culun takut semua orang akan ubah perlahan lahan entah baik buruk,0,0,0,0,0,0,0,0,0,0,0,0
131,perang salib dulu raja afrika dua babilonia peluk kristen tobaco peluk islam,0,0,0,0,0,0,0,0,0,0,0,0
132,kejar setor memang cukup bangsat mana rupiah turun xfxfxxa,1,1,1,0,0,0,0,0,1,1,0,0
133,moga ada tindak lanjut lapor hadap nista agama adek armando laku langsung ketua umum front bela islam kh shobri lubis badan reserse kriminal markas besar polisi republik indonesia gambir jakaa pusat selasa pukul waktu indonesia barat perhaps,1,0,1,0,1,0,0,0,0,1,0,0
134,bangkai hajar,1,1,1,0,0,0,0,0,1,0,0,1
135,onta mati kalau banyak minum,1,0,0,1,0,0,0,0,1,0,1,0
136,ahok tng terus waswas hidup,1,0,1,0,0,0,0,0,1,1,0,0
137,baru sul teng ekses akibat sandera hutang cina ganti presiden presiden baru tetap jokowi ganti,1,0,1,0,0,0,0,0,1,1,0,0
138,pride yunani xexbdxxcfxxcexbxcfxxcexbxcfxxcexbxcexbdxcexafxcexbhyperxcxphania keangkuhanharga dirikesombonganndikenal dengan sebut hubrisvanity harga diri tinggi ubah manusia sombong sombong buat manusia kutuk mata tuhandan buat manusia cinta diri sendiri,0,0,0,0,0,0,0,0,0,0,0,0
139,aku bea tuju hatinlogikaku jawab hati tak tenangnaku bea logika hati sedih ku cari jawab wasiat beliau tinggal aku mulai jadi asing asing mata manusia tak apa duhai diri,0,0,0,0,0,0,0,0,0,0,0,0
140,tak kurang beaji nya komisi berantas korupsi era initapi era juga komitmen berantas korupsi surat pemberitahuan tahun era pak susilo bambang yudhoyono,1,0,0,1,0,0,0,0,1,0,1,0
141,admin tolol paai tololnpaai tolol orang tolol,1,1,0,1,0,0,0,0,1,0,1,0
142,ayu ting ting goyang hot dekat raffi ahmad nagita slavina kampung norak,0,1,0,0,0,0,0,0,0,0,0,0
143,video tenaga kerja asing buat malaysia kutip nyata di,0,0,0,0,0,0,0,0,0,0,0,0
144,ppp jangan buruburu tolak wacana pilih kepala daerah lewat dewan wakil rakyat daerah,0,0,0,0,0,0,0,0,0,0,0,0
145,random pagi pagi bapak bapak samper meja kerja terus tanya pakai bedak apa sih biar muka bersih istri butek soalnyaningin ku jawab pakai air wudhu ku kristen,0,0,0,0,0,0,0,0,0,0,0,0
146,kok gue kampret,0,1,0,0,0,0,0,0,0,0,0,0
147,memek lonte sodok kontol gede,0,1,0,0,0,0,0,0,0,0,0,0
148,jokowi yang mundur tutup,1,0,1,0,0,0,0,0,1,1,0,0
149,bicara apa itumulut kok pei bancibeli kaca dulu lihat diri bro,1,1,1,0,0,0,0,1,0,1,0,0
150,amin rasisnada daninada ratna sih paiiitnada sih ontanada sih lobang anusnjdi jangan takut oi wonkehabisan obat tenang,1,1,1,0,0,0,0,0,1,1,0,0
151,tunggu komando imam bejat cabul tai bir xfxfxdxbannape bawa ulamandasar banj sempak,1,1,1,0,0,0,0,1,0,1,0,0
152,kabinet beranta pecah belah satu ada rezim,1,0,0,1,0,0,0,0,1,0,1,0
153,ih aku lebih pintar orang politik kaca dulu oi tampang kamu kxcxak orang bego wkwk,1,1,1,0,0,0,1,0,0,1,0,0
154,partai demokrasi indonesia juang menang tekan usaha tambang target proyek impossible lalu lelang murah antek cina ntb contoh kasus partai demokrasi indonesia juang mau menang dasar bajing,1,1,0,1,0,0,0,0,1,0,1,0
155,percaya sama mulut buaya mu bawang,1,1,1,0,0,0,0,0,1,1,0,0
156,susilo bambang yudhoyono prabowo satu lawan mega jokowi peristiwa ulang mana partai demokrasi indonesia juang incumbent kalah mutlak susilo bambang yudhoyono jika jkwmegasby lawan prabowo mk pilih presiden selesai jika poros pilih presiden mk salah satu lawan,0,0,0,0,0,0,0,0,0,0,0,0
157,jangan kayak banci kaleng kamu gatot sering buat gaduh gentleman lah mundur siap saing pilih presiden lawan jokowi,1,1,1,0,0,0,0,1,0,1,0,0
158,bebal,0,0,0,0,0,0,0,0,0,0,0,0
159,akhir indonesia negara populasi muslim besar dunia mana islam ini rupa musuh barat amp komunis dapat hambat agenda penting merekaobviously,0,0,0,0,0,0,0,0,0,0,0,0
160,umuh persibnpersib kunyuknxfxfxxxfxfxxxfxfxx,1,1,0,1,0,0,0,0,1,0,1,0
161,buat film muslim pilih ahok mati enggak salat jamin laris,1,0,1,0,0,0,0,0,1,1,0,0
162,banu banu yahudi tentu beda banu banu kristen suriah salah satu beda banu yahudi tetap pakai eloah elohim yahwe sedang suriah pakai alah allah,0,0,0,0,0,0,0,0,0,0,0,0
163,eh muka merah merah tak cendol bukan lah setan cuaca sekarang nih panas,0,1,0,0,0,0,0,0,0,0,0,0
164,berita saracen diframing katak tim prabowo aniessandi benar media tumpah sakit hati katak cebong ehe,1,1,0,1,0,0,0,0,1,0,1,0
165,giat bhayangkara bina aman tertib masyarakat brigadir polisi manajemen bas sekolah sihombing hari rabu april laksana sambang desa tatap muka sekaligus pantau aman tertib masyarakat tuju pilih kepala daerah desa lobusiregar i tepat rumah rudi panjaitan helm siahaan hotman siahaan,0,0,0,0,0,0,0,0,0,0,0,0
166,sayang banget lihat perempuan kayak begini ada status apa apa sudah tempel sama lakilaki sana sini haduhnnagita slavina blakblakan sebut ayu ting ting kampung xexx viva,0,1,0,0,0,0,0,0,0,0,0,0
167,jangan lupa kang umat katolik minoritas perhati gubernur semua golong bukan satu golong,0,0,0,0,0,0,0,0,0,0,0,0
168,kan bukan cebong bilang kemarin ngeyelnsitu paksa jadi cebong,1,1,1,0,0,0,0,0,1,1,0,0
169,lemah gerindra ada orang iniprabowo turun elektabilitasnya congor fadli zon surat pemberitahuan tahun durno,1,1,1,0,0,0,0,0,1,1,0,0
170,selamat hari kain tiap kali selalu raya lalu apa makna kali,0,0,0,0,0,0,0,0,0,0,0,0
171,foto memang bisu milik banyak ai susah diaikansma pei kamu susah diaikanmau putus lanjut,0,0,0,0,0,0,0,0,0,0,0,0
172,wkwk aku alam xfxfxxxfxfxxxfxfxxxfxfxx tiba muncul grub wa an bani abdi had aka mbah ketika aku mek kenal beberapa orang xfxfxaxaxfxfxaxaxfxfxa,0,0,0,0,0,0,0,0,0,0,0,0
173,ayah pres badar nuqaba paling boekkk nih hebat bidang agama x takut natural killer tegur member sendiri selalu buat lawak hambar paling aku ingat sekarang lawak kalau orang cukup jom gerak sekarang akan gera badan yang chubby tu,0,0,0,0,0,0,0,0,0,0,0,0
174,orang anak pekan ilham dasar ekonomi baru deb jadi gerak utama maju ekonomi luar bandar beliau allah rahman tun abdul razak ds malaysia pilih hogohundi,0,0,0,0,0,0,0,0,0,0,0,0
175,haha sialaaan nih sih nyata kalau lapar presiden mau sikat sama doi,0,0,0,0,0,0,0,0,0,0,0,0
176,mau nasihat kali tidak ugal ugalan nih rezim eh ini negeri keburu ancornah sekarang ekonomi moral meni kacaoooooo,1,0,1,0,0,0,0,0,1,1,0,0
177,alah silit kebelet kasihan orang makin sayang paknsetelah kasus media sosial gue baru sadar beberapa di satu instansi kemarinntar gue cerita duuuhhh xfxfxaxaxfxfxaxaxfxfxx,0,1,0,0,0,0,0,0,0,0,0,0
178,iya tadi cacat,0,0,0,0,0,0,0,0,0,0,0,0
179,tahun rakyat makan aspal beton solusi jitu kurang miskin ahli cebong tukang tipu cebong adalah begitu goblok enggak ketulungan plonga plongo akibat optimisme lebih ganti presiden,1,1,0,1,0,0,0,0,1,0,1,0
180,aku pernah sempat baca harun yahya yang belot kubu yahudi freemason nyakdg suka percaya,0,0,0,0,0,0,0,0,0,0,0,0
181,maju sama ulama gerak sama semua tokoh agama indonesia ikut gus mus,0,0,0,0,0,0,0,0,0,0,0,0
182,nan,0,0,0,0,0,0,0,0,0,0,0,0
183,mukidi terlalu percaya diri peanyaan mudah jawab keras minta jawab keras siapa nama saya,0,0,0,0,0,0,0,0,0,0,0,0
184,kemarin hujat sekarang harap dasar bani kampret,1,1,0,1,0,0,0,0,1,0,1,0
185,jelas bukan fitnah sila ban apollinaris darmawan sebut alquran kitab sampah,1,1,0,1,1,0,0,0,0,0,1,0
186,monyet koloe bilang saudara sama kamu ogah hidup kok begini ya hati apa comberan,1,1,1,0,0,0,0,0,1,1,0,0
187,body lufra scrub bahan dasar lidah buaya melembabkan kulit amp lebih cahaya info body mass index,0,0,0,0,0,0,0,0,0,0,0,0
188,tak punya cacat masa lalu belum masa lalu,0,0,0,0,0,0,0,0,0,0,0,0
189,jangan jangan anut bumi datar xfxfxxdnsoalnya teori bumi bulat kan orang asing notabene musuh,0,0,0,0,0,0,0,0,0,0,0,0
190,becak warga binjai hendak sita guna tenda beuliskan ganti presiden partai adil sejahtera radang bukti perintah panik takut,1,0,0,1,0,0,0,0,1,0,1,0
191,lebih baik jokowi mundur,1,0,1,0,0,0,0,0,1,1,0,0
192,musyawarah nasional alim ulama ppp semarang hasil lima rekomendasi syarat kriteriakriteria calon wakil presiden akan damping bapak jokowi datang romahurmuziy,0,0,0,0,0,0,0,0,0,0,0,0
193,luar biasa cerah nya rasa gagal bagai anak ekonomi wkwk,0,0,0,0,0,0,0,0,0,0,0,0
194,kafan asal budaya yahudi umat islam klaim,0,0,0,0,0,0,0,0,0,0,0,0
195,rezim sekarang atas kendali negara cina komunis jadi patron tunggal rezim anti islam jokowi,1,0,0,1,1,1,0,0,0,0,1,0
196,tanda nya mau pilih kepala daerah pilih presiden,0,0,0,0,0,0,0,0,0,0,0,0
197,misi bangun masyarakat gotong royong toleran harmoni selaras nilai budaya jawa barat luhur nomor tiga jawa barat asyik asyik menang,0,0,0,0,0,0,0,0,0,0,0,0
198,tabah pasang taufik puan niyana wajar contoh jom beri sumbang ringan beban pasang come on twitter do your pikir badan standar nasional bank islam niyana bosan abdul razif,0,0,0,0,0,0,0,0,0,0,0,0
199,apa sih tai baru doang belaganya langit ingat karma beberapa tahun kalau idol kamu flop gue tertawa paling keras,1,1,1,0,0,0,0,0,1,1,0,0
200,celeng kangen gue iya,0,1,0,0,0,0,0,0,0,0,0,0
201,rang negeri budaya yuk unjung purwokeo mumpung even rakyat purwokeo ekstra vaganza banyumas,0,0,0,0,0,0,0,0,0,0,0,0
202,presiden punya dana taktis bisa untuk penting rakyat luar program program perintah sudah soal program banyak sekali bangun infrastruktur kip kartu indonesia sehat seifikat tanah hutan sosial bahan bakar minyak harga padat karya,0,0,0,0,0,0,0,0,0,0,0,0
203,amin allah tim kan sampai latih ular dia di rawarawa aku di sungai gede dan musuh buaya wkwk,0,0,0,0,0,0,0,0,0,0,0,0
204,maju kamu maki mama aku bolot,1,1,1,0,0,0,0,0,1,1,0,0
205,gerombol kadal jidat gosongmmg suka ribut kalau gerombol salah pura pura budekdasar gerombol cingkrang,1,1,0,1,0,0,1,0,0,0,1,0
206,gentar takut hadap kafirxfxfxx,0,0,0,0,0,0,0,0,0,0,0,0
207,betul padahal saracen siapa akun kritis anggap saracen kan aneh jokowi,1,0,1,0,0,0,0,0,1,1,0,0
